iter	Passed	Remaining
0	160	160203
1	162	81078
2	164	54655
3	167	41720
4	170	33910
5	172	28562
6	192	27314
7	194	24163
8	197	21710
9	202	20034
10	204	18379
11	206	17012
12	209	15934
13	212	14962
14	215	14164
15	218	13421
16	254	14691
17	256	13977
18	258	13342
19	263	12902
20	266	12403
21	268	11957
22	271	11537
23	273	11132
24	276	10778
25	278	10451
26	281	10133
27	283	9838
28	285	9558
29	287	9297
30	289	9052
31	291	8825
32	296	8674
33	298	8474
34	302	8339
35	306	8199
36	311	8116
37	314	7971
38	319	7873
39	341	8205
40	344	8049
41	346	7912
42	350	7797
43	353	7688
44	356	7560
45	358	7436
46	360	7316
47	363	7206
48	366	7115
49	369	7017
50	388	7230
51	390	7125
52	392	7021
53	394	6919
54	398	6838
55	400	6746
56	404	6683
57	406	6602
58	409	6524
59	411	6446
60	416	6406
61	418	6331
62	421	6264
63	423	6200
64	426	6128
65	429	6079
66	431	6006
67	433	5940
68	435	5876
69	437	5812
70	439	5747
71	441	5686
72	444	5647
73	446	5586
74	447	5523
75	449	5464
76	451	5407
77	453	5357
78	454	5302
79	459	5287
80	461	5240
81	463	5194
82	464	5136
83	467	5098
84	470	5060
85	476	5060
86	478	5016
87	479	4971
88	482	4941
89	484	4902
90	488	4878
91	490	4841
92	494	4817
93	498	4805
94	500	4771
95	505	4755
96	508	4733
97	511	4707
98	514	4679
99	516	4648
100	520	4636
101	522	4603
102	525	4572
103	527	4544
104	529	4514
105	532	4489
106	535	4470
107	537	4441
108	539	4412
109	541	4383
110	543	4355
111	545	4326
112	547	4299
113	551	4284
114	553	4257
115	554	4228
116	556	4196
117	557	4169
118	559	4140
119	560	4112
120	562	4087
121	565	4068
122	566	4042
123	568	4016
124	570	3990
125	571	3964
126	572	3937
127	574	3912
128	575	3888
129	577	3863
130	580	3849
131	581	3826
132	583	3802
133	584	3779
134	586	3757
135	587	3735
136	589	3714
137	591	3693
138	594	3682
139	596	3663
140	597	3641
141	598	3617
142	600	3596
143	601	3575
144	603	3556
145	605	3538
146	606	3521
147	609	3510
148	611	3492
149	612	3473
150	614	3454
151	615	3436
152	617	3418
153	621	3413
154	626	3414
155	628	3400
156	629	3382
157	631	3366
158	633	3350
159	635	3333
160	636	3314
161	637	3298
162	641	3292
163	642	3276
164	644	3259
165	645	3244
166	647	3228
167	648	3213
168	650	3198
169	652	3183
170	655	3179
171	657	3165
172	659	3151
173	660	3137
174	662	3124
175	664	3112
176	666	3098
177	669	3093
178	672	3084
179	674	3071
180	675	3058
181	677	3044
182	679	3031
183	680	3019
184	682	3006
185	686	3005
186	688	2993
187	690	2980
188	691	2968
189	693	2955
190	694	2943
191	696	2932
192	700	2926
193	703	2920
194	704	2908
195	706	2896
196	707	2884
197	709	2872
198	710	2861
199	712	2849
200	715	2844
201	717	2835
202	719	2824
203	721	2813
204	722	2802
205	724	2790
206	725	2779
207	727	2768
208	728	2757
209	731	2753
210	733	2742
211	735	2732
212	736	2721
213	738	2710
214	739	2700
215	741	2690
216	742	2679
217	744	2669
218	746	2662
219	748	2652
220	749	2642
221	751	2633
222	752	2622
223	754	2612
224	755	2602
225	757	2594
226	760	2589
227	762	2580
228	764	2573
229	766	2564
230	767	2555
231	769	2547
232	771	2539
233	773	2530
234	777	2530
235	779	2522
236	780	2513
237	782	2505
238	784	2496
239	785	2488
240	787	2480
241	791	2479
242	793	2472
243	795	2464
244	797	2457
245	799	2450
246	802	2446
247	805	2443
248	808	2438
249	811	2434
250	813	2426
251	814	2418
252	816	2411
253	818	2404
254	822	2404
255	825	2398
256	827	2392
257	830	2387
258	832	2382
259	837	2384
260	840	2378
261	842	2373
262	844	2367
263	847	2363
264	850	2357
265	856	2363
266	859	2358
267	861	2352
268	863	2346
269	865	2340
270	870	2341
271	872	2335
272	874	2329
273	877	2325
274	880	2320
275	885	2322
276	887	2317
277	890	2312
278	892	2306
279	895	2303
280	906	2319
281	915	2330
282	918	2326
283	920	2320
284	922	2314
285	924	2308
286	926	2302
287	940	2324
288	942	2319
289	948	2321
290	950	2315
291	955	2316
292	958	2311
293	960	2305
294	964	2305
295	966	2299
296	969	2294
297	971	2289
298	974	2283
299	976	2277
300	978	2272
301	981	2269
302	983	2263
303	989	2266
304	993	2263
305	995	2258
306	998	2252
307	1000	2247
308	1005	2248
309	1007	2242
310	1010	2237
311	1012	2232
312	1014	2227
313	1020	2230
314	1023	2224
315	1025	2219
316	1029	2218
317	1031	2212
318	1038	2216
319	1040	2211
320	1042	2206
321	1045	2201
322	1049	2199
323	1052	2195
324	1055	2192
325	1060	2192
326	1062	2187
327	1069	2190
328	1071	2185
329	1075	2183
330	1077	2177
331	1087	2187
332	1089	2182
333	1091	2177
334	1100	2185
335	1103	2180
336	1106	2176
337	1109	2172
338	1124	2192
339	1131	2196
340	1133	2191
341	1139	2193
342	1142	2188
343	1153	2200
344	1156	2195
345	1161	2195
346	1167	2197
347	1169	2191
348	1172	2186
349	1174	2180
350	1179	2180
351	1181	2174
352	1184	2170
353	1186	2164
354	1188	2159
355	1203	2176
356	1205	2170
357	1209	2168
358	1214	2168
359	1216	2163
360	1219	2157
361	1221	2152
362	1228	2156
363	1231	2151
364	1233	2146
365	1236	2141
366	1241	2140
367	1243	2135
368	1245	2130
369	1247	2124
370	1249	2118
371	1251	2112
372	1253	2106
373	1257	2104
374	1259	2098
375	1261	2093
376	1263	2088
377	1266	2084
378	1269	2080
379	1274	2079
380	1276	2073
381	1278	2068
382	1280	2062
383	1282	2057
384	1286	2054
385	1288	2049
386	1291	2045
387	1293	2040
388	1295	2034
389	1297	2029
390	1301	2027
391	1303	2021
392	1305	2016
393	1307	2010
394	1308	2004
395	1310	1998
396	1312	1993
397	1314	1988
398	1317	1984
399	1319	1978
400	1320	1973
401	1322	1967
402	1324	1961
403	1325	1955
404	1327	1950
405	1331	1948
406	1333	1942
407	1334	1936
408	1336	1931
409	1338	1925
410	1340	1920
411	1341	1915
412	1346	1913
413	1348	1908
414	1350	1903
415	1352	1898
416	1355	1895
417	1363	1899
418	1366	1895
419	1369	1890
420	1371	1886
421	1373	1881
422	1379	1881
423	1381	1876
424	1385	1874
425	1388	1870
426	1392	1869
427	1395	1864
428	1400	1864
429	1403	1860
430	1409	1860
431	1413	1858
432	1416	1854
433	1424	1857
434	1429	1856
435	1431	1852
436	1434	1847
437	1436	1843
438	1443	1844
439	1445	1840
440	1448	1835
441	1462	1846
442	1465	1842
443	1468	1838
444	1474	1838
445	1476	1834
446	1479	1829
447	1481	1825
448	1483	1820
449	1488	1818
450	1491	1815
451	1493	1810
452	1496	1806
453	1501	1805
454	1503	1801
455	1505	1796
456	1509	1793
457	1527	1807
458	1529	1803
459	1537	1804
460	1540	1800
461	1542	1796
462	1545	1792
463	1560	1803
464	1567	1803
465	1569	1798
466	1571	1794
467	1574	1789
468	1578	1786
469	1583	1785
470	1585	1781
471	1588	1776
472	1593	1775
473	1595	1770
474	1598	1766
475	1609	1771
476	1611	1766
477	1613	1761
478	1615	1757
479	1617	1752
480	1619	1747
481	1625	1746
482	1627	1741
483	1629	1737
484	1632	1732
485	1634	1728
486	1637	1725
487	1646	1727
488	1649	1723
489	1651	1719
490	1657	1718
491	1659	1713
492	1662	1709
493	1664	1704
494	1666	1700
495	1671	1698
496	1674	1694
497	1678	1692
498	1681	1687
499	1702	1702
500	1705	1699
501	1709	1695
502	1712	1691
503	1714	1686
504	1716	1682
505	1720	1679
506	1722	1674
507	1724	1669
508	1726	1665
509	1728	1660
510	1740	1665
511	1743	1661
512	1745	1657
513	1752	1657
514	1754	1652
515	1757	1648
516	1759	1643
517	1761	1639
518	1767	1638
519	1770	1633
520	1772	1629
521	1774	1624
522	1786	1629
523	1788	1624
524	1790	1620
525	1795	1617
526	1797	1613
527	1799	1608
528	1801	1603
529	1803	1599
530	1805	1594
531	1811	1593
532	1813	1589
533	1816	1584
534	1818	1580
535	1832	1586
536	1836	1583
537	1842	1582
538	1844	1577
539	1847	1573
540	1849	1569
541	1852	1565
542	1856	1562
543	1860	1559
544	1863	1555
545	1866	1552
546	1874	1552
547	1876	1548
548	1879	1544
549	1881	1539
550	1884	1535
551	1893	1536
552	1907	1541
553	1910	1537
554	1912	1533
555	1915	1529
556	1917	1525
557	1923	1523
558	1925	1519
559	1927	1514
560	1929	1509
561	1931	1505
562	1938	1504
563	1941	1500
564	1943	1496
565	1946	1492
566	1951	1490
567	1955	1487
568	1958	1483
569	1960	1479
570	1966	1477
571	1971	1475
572	1975	1471
573	1978	1468
574	1984	1466
575	1986	1462
576	1988	1457
577	1990	1453
578	1992	1448
579	1994	1444
580	2000	1442
581	2002	1437
582	2004	1433
583	2006	1428
584	2008	1424
585	2010	1420
586	2016	1419
587	2019	1414
588	2021	1410
589	2023	1406
590	2025	1401
591	2032	1400
592	2034	1396
593	2037	1392
594	2039	1388
595	2042	1384
596	2044	1380
597	2046	1375
598	2048	1371
599	2050	1366
600	2052	1362
601	2057	1360
602	2060	1356
603	2063	1352
604	2065	1348
605	2068	1344
606	2072	1341
607	2076	1338
608	2078	1334
609	2081	1330
610	2083	1326
611	2089	1324
612	2091	1320
613	2093	1316
614	2096	1312
615	2098	1308
616	2107	1307
617	2109	1304
618	2112	1300
619	2115	1296
620	2119	1293
621	2122	1290
622	2125	1285
623	2127	1281
624	2133	1279
625	2135	1275
626	2137	1271
627	2140	1268
628	2142	1263
629	2148	1262
630	2151	1258
631	2154	1254
632	2156	1250
633	2159	1246
634	2165	1244
635	2168	1240
636	2170	1236
637	2173	1233
638	2175	1229
639	2178	1225
640	2180	1221
641	2182	1217
642	2185	1213
643	2187	1209
644	2193	1207
645	2195	1202
646	2197	1198
647	2199	1194
648	2201	1190
649	2203	1186
650	2207	1183
651	2209	1179
652	2211	1175
653	2213	1171
654	2215	1167
655	2219	1163
656	2222	1160
657	2224	1156
658	2226	1151
659	2227	1147
660	2229	1143
661	2231	1139
662	2234	1135
663	2238	1132
664	2240	1128
665	2242	1124
666	2246	1121
667	2247	1117
668	2252	1114
669	2255	1110
670	2258	1107
671	2260	1103
672	2262	1099
673	2267	1096
674	2269	1092
675	2271	1088
676	2273	1084
677	2275	1080
678	2276	1076
679	2278	1072
680	2284	1070
681	2286	1066
682	2289	1062
683	2291	1058
684	2293	1054
685	2299	1052
686	2302	1048
687	2304	1044
688	2306	1040
689	2317	1041
690	2320	1037
691	2323	1033
692	2325	1030
693	2332	1028
694	2334	1024
695	2337	1020
696	2338	1016
697	2342	1013
698	2347	1011
699	2351	1007
700	2354	1004
701	2356	1000
702	2360	997
703	2362	993
704	2365	989
705	2367	985
706	2370	982
707	2383	983
708	2385	979
709	2388	975
710	2396	974
711	2399	970
712	2404	967
713	2412	966
